id,url,price,monthly_costs,locality,zip,type,bedrooms,area,Total Costs,Cost per m2
21578924,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21578924,1100,100,Schaerbeek,1030,apartment,1,67,1200, € 17.9 
21551534,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21551534,1100,180,Schaerbeek,1030,apartment,1,55,1280, € 23.3 
21551538,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21551538,980,80,Schaerbeek,1030,apartment,1,60,1060, € 17.7 
21556423,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21556423,1190,120,Schaerbeek,1030,apartment,1,65,1310, € 20.2 
21567925,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21567925,1450,,Schaerbeek,1030,apartment,1,64,1450, € 22.7 
21507966,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21507966,1150,50,Schaerbeek,1030,apartment,1,68,1200, € 17.6 
21573570,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21573570,1250,,Schaerbeek,1030,apartment,1,55,1250, € 22.7 
21560136,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21560136,870,90,Schaerbeek,1030,apartment,1,60,960, € 16.0 
21244274,https://www.immoweb.be/en/classified/apartment/for-rent/bruxelles/1030/21244274,1350,130,Bruxelles,1030,apartment,1,60,1480, € 24.7 
20684790,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/20684790,1050,50,Schaerbeek,1030,apartment,1,70,1100, € 15.7 
21589950,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21589950,1400,170,Schaerbeek,1030,apartment,1,60,1570, € 26.2 
21590097,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21590097,1100,40,Schaerbeek,1030,apartment,1,63,1140, € 18.1 
21514499,https://www.immoweb.be/en/classified/duplex/for-rent/schaerbeek/1030/21514499,1190,210,Schaerbeek,1030,duplex,1,58,1400, € 24.1 
21574804,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21574804,950,25,Schaerbeek,1030,apartment,1,70,975, € 13.9 
21443932,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21443932,890,110,Schaerbeek,1030,apartment,1,55,1000, € 18.2 
9093954,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/9093954,940,10,Schaerbeek,1030,apartment,1,68,950, € 14.0 
21562138,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21562138,1250,120,Schaerbeek,1030,apartment,1,70,1370, € 19.6 
21562139,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21562139,1450,120,Schaerbeek,1030,apartment,1,70,1570, € 22.4 
21584020,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21584020,1195,50,Schaerbeek,1030,apartment,1,68,1245, € 18.3 
21534711,https://www.immoweb.be/en/classified/ground-floor/for-rent/schaerbeek/1030/21534711,1200,135,Schaerbeek,1030,ground-floor,1,40,1335, € 33.4 
21590313,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21590313,865,80,Schaerbeek,1030,apartment,1,50,945, € 18.9 
21561439,https://www.immoweb.be/en/classified/flat-studio/for-rent/schaerbeek/1030/21561439,1000,120,Schaerbeek,1030,flat-studio,1,44,1120, € 25.5 
10186864,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/10186864,1050,150,Schaerbeek,1030,apartment,1,57,1200, € 21.1 
21570043,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21570043,1100,50,Schaerbeek,1030,apartment,1,60,1150, € 19.2 
21532910,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21532910,1060,110,Schaerbeek,1030,apartment,1,60,1170, € 19.5 
21556987,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21556987,1070,50,Schaerbeek,1030,apartment,1,60,1120, € 18.7 
21392615,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21392615,1050,,Schaerbeek,1030,apartment,1,66,1050, € 15.9 
21561921,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21561921,1190,210,Schaerbeek,1030,apartment,1,64,1400, € 21.9 
21581221,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21581221,900,,Schaerbeek,1030,apartment,1,60,900, € 15.0 
21575534,https://www.immoweb.be/en/classified/apartment/for-rent/schaerbeek/1030/21575534,1000,40,Schaerbeek,1030,apartment,1,60,1040, € 17.3 
,,,,,,,,60.9," € 1,198.00 ", € 20.0 
